"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.3592000594,
"AUS","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.9719377702,
"AUS","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.0208674587,
"AUS","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.6924782691,
"AUS","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.7495120393,
"AUS","LANDCOVER","VEGELOSS1992","PC","A","2004",0.8306783394,
"AUS","LANDCOVER","VEGELOSS1992","PC","A","2018",0.9955271272,
"AUS","LANDCOVER","VEGELOSS1992","PC","A","2019",1.0126533793,
"AUS","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2424676437,
"AUS","LANDCOVER","VEGELOSS2004","PC","A","2019",0.267547321,
"AUT","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.440404056,
"AUT","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.7655525719,
"AUT","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.8496449291,
"AUT","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.4032221351,
"AUT","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4993450892,
"AUT","LANDCOVER","VEGELOSS1992","PC","A","2004",2.2827463635,
"AUT","LANDCOVER","VEGELOSS1992","PC","A","2018",2.9664481813,
"AUT","LANDCOVER","VEGELOSS1992","PC","A","2019",3.0234555768,
"AUT","LANDCOVER","VEGELOSS2004","PC","A","2018",0.7648213401,
"AUT","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8336292464,
"BEL","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.8467055725,
"BEL","LANDCOVER","VEGEGAIN1992","PC","A","2018",2.5268966612,
"BEL","LANDCOVER","VEGEGAIN1992","PC","A","2019",2.7386292959,
"BEL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.7442494416,
"BEL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.9662422488,
"BEL","LANDCOVER","VEGELOSS1992","PC","A","2004",3.7860441727,
"BEL","LANDCOVER","VEGELOSS1992","PC","A","2018",4.306774121,
"BEL","LANDCOVER","VEGELOSS1992","PC","A","2019",4.3405190096,
"BEL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.5816346498,
"BEL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6221196602,
"CAN","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.1761401896,
"CAN","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.3091029107,
"CAN","LANDCOVER","VEGEGAIN1992","PC","A","2019",0.3331211579,
"CAN","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1468510738,
"CAN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1735452178,
"CAN","LANDCOVER","VEGELOSS1992","PC","A","2004",0.3447733555,
"CAN","LANDCOVER","VEGELOSS1992","PC","A","2018",0.6206645327,
"CAN","LANDCOVER","VEGELOSS1992","PC","A","2019",0.6902021661,
"CAN","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2900209619,
"CAN","LANDCOVER","VEGELOSS2004","PC","A","2019",0.3623113825,
"CZE","LANDCOVER","VEGEGAIN1992","PC","A","2004",5.5191999287,
"CZE","LANDCOVER","VEGEGAIN1992","PC","A","2018",6.2949928724,
